Running on device: cuda
2023-12-17 22:44:19
Hyper Parameters:
BATCH_SIZE: 128
GAMMA: 0.99
EPS_START: 0.9
EPS_END: 0.05
EPS_DECAY: 1200
TAU: 0.005
LR: 0.001
| Episode:  0 | Episode reward:  -83.0 |
| Episode:  1 | Episode reward:  11.999999999999943 |
| Episode:  2 | Episode reward:  127.99999999999994 |
| Episode:  3 | Episode reward:  -81.0 |
| Episode:  4 | Episode reward:  -53.99999999999999 |
| Episode:  5 | Episode reward:  -84.00000000000001 |
| Episode:  6 | Episode reward:  -45.99999999999999 |
| Episode:  7 | Episode reward:  -81.0 |
| Episode:  8 | Episode reward:  -82.0 |
| Episode:  9 | Episode reward:  -79.0 |
| Episode:  10 | Episode reward:  -76.0 |
| Episode:  11 | Episode reward:  -76.0 |
| Episode:  12 | Episode reward:  -87.00000000000001 |
| Episode:  13 | Episode reward:  -79.0 |
| Episode:  14 | Episode reward:  -83.0 |
| Episode:  15 | Episode reward:  -84.00000000000001 |
| Episode:  16 | Episode reward:  -73.0 |
| Episode:  17 | Episode reward:  -82.0 |
| Episode:  18 | Episode reward:  -80.0 |
| Episode:  19 | Episode reward:  -90.00000000000001 |
| Episode:  20 | Episode reward:  -84.00000000000001 |
| Episode:  21 | Episode reward:  -78.0 |
| Episode:  22 | Episode reward:  -73.0 |
| Episode:  23 | Episode reward:  -81.0 |
| Episode:  24 | Episode reward:  -73.0 |
| Episode:  25 | Episode reward:  -68.0 |
| Episode:  26 | Episode reward:  -80.0 |
| Episode:  27 | Episode reward:  -57.99999999999999 |
| Episode:  28 | Episode reward:  -72.0 |
| Episode:  29 | Episode reward:  -78.0 |
| Episode:  30 | Episode reward:  -82.0 |
| Episode:  31 | Episode reward:  -71.0 |
| Episode:  32 | Episode reward:  -82.0 |
| Episode:  33 | Episode reward:  -70.0 |
| Episode:  34 | Episode reward:  -71.0 |
| Episode:  35 | Episode reward:  -69.0 |
| Episode:  36 | Episode reward:  -87.00000000000001 |
| Episode:  37 | Episode reward:  -75.0 |
| Episode:  38 | Episode reward:  -86.00000000000001 |
| Episode:  39 | Episode reward:  -39.99999999999999 |
| Episode:  40 | Episode reward:  -88.00000000000001 |
| Episode:  41 | Episode reward:  -88.00000000000001 |
| Episode:  42 | Episode reward:  -77.0 |
| Episode:  43 | Episode reward:  -68.0 |
| Episode:  44 | Episode reward:  -70.0 |
| Episode:  45 | Episode reward:  -72.0 |
| Episode:  46 | Episode reward:  -77.0 |
| Episode:  47 | Episode reward:  -63.99999999999999 |
| Episode:  48 | Episode reward:  -77.0 |
| Episode:  49 | Episode reward:  -80.0 |
| Episode:  50 | Episode reward:  -81.0 |
| Episode:  51 | Episode reward:  -73.0 |
| Episode:  52 | Episode reward:  -80.0 |
| Episode:  53 | Episode reward:  -87.00000000000001 |
| Episode:  54 | Episode reward:  -73.0 |
| Episode:  55 | Episode reward:  -77.0 |
| Episode:  56 | Episode reward:  -74.0 |
| Episode:  57 | Episode reward:  -62.99999999999999 |
| Episode:  58 | Episode reward:  -38.99999999999999 |
| Episode:  59 | Episode reward:  -81.0 |
| Episode:  60 | Episode reward:  -78.0 |
| Episode:  61 | Episode reward:  -75.0 |
| Episode:  62 | Episode reward:  -76.0 |
| Episode:  63 | Episode reward:  -68.0 |
| Episode:  64 | Episode reward:  -79.0 |
| Episode:  65 | Episode reward:  -86.00000000000001 |
| Episode:  66 | Episode reward:  -68.0 |
| Episode:  67 | Episode reward:  -70.0 |
| Episode:  68 | Episode reward:  -78.0 |
| Episode:  69 | Episode reward:  -87.00000000000001 |
| Episode:  70 | Episode reward:  -80.0 |
| Episode:  71 | Episode reward:  -77.0 |
| Episode:  72 | Episode reward:  -80.0 |
| Episode:  73 | Episode reward:  -85.00000000000001 |
| Episode:  74 | Episode reward:  -75.0 |
| Episode:  75 | Episode reward:  -73.0 |
| Episode:  76 | Episode reward:  -79.0 |
| Episode:  77 | Episode reward:  -40.99999999999999 |
| Episode:  78 | Episode reward:  -75.0 |
| Episode:  79 | Episode reward:  -68.0 |
| Episode:  80 | Episode reward:  -47.99999999999999 |
| Episode:  81 | Episode reward:  -81.0 |
| Episode:  82 | Episode reward:  -75.0 |
| Episode:  83 | Episode reward:  -82.0 |
| Episode:  84 | Episode reward:  -79.0 |
| Episode:  85 | Episode reward:  -75.0 |
| Episode:  86 | Episode reward:  -68.0 |
| Episode:  87 | Episode reward:  -70.0 |
| Episode:  88 | Episode reward:  -83.0 |
| Episode:  89 | Episode reward:  -79.0 |
| Episode:  90 | Episode reward:  -81.0 |
| Episode:  91 | Episode reward:  -77.0 |
| Episode:  92 | Episode reward:  -65.0 |
| Episode:  93 | Episode reward:  -63.99999999999999 |
| Episode:  94 | Episode reward:  -77.0 |
| Episode:  95 | Episode reward:  -82.0 |
| Episode:  96 | Episode reward:  -35.00000000000006 |
| Episode:  97 | Episode reward:  -81.0 |
| Episode:  98 | Episode reward:  -69.0 |
| Episode:  99 | Episode reward:  -83.0 |
| Episode:  100 | Episode reward:  -81.0  |  Average reward:  -71.79
| Episode:  101 | Episode reward:  -82.0  |  Average reward:  -71.77
| Episode:  102 | Episode reward:  -84.00000000000001  |  Average reward:  -72.71
| Episode:  103 | Episode reward:  -73.0  |  Average reward:  -74.83
| Episode:  104 | Episode reward:  -66.0  |  Average reward:  -74.75
| Episode:  105 | Episode reward:  -77.0  |  Average reward:  -74.87
| Episode:  106 | Episode reward:  -79.0  |  Average reward:  -74.8
| Episode:  107 | Episode reward:  -48.99999999999999  |  Average reward:  -75.13
| Episode:  108 | Episode reward:  -77.0  |  Average reward:  -74.81
| Episode:  109 | Episode reward:  -72.0  |  Average reward:  -74.76
| Episode:  110 | Episode reward:  -78.0  |  Average reward:  -74.69
| Episode:  111 | Episode reward:  -76.0  |  Average reward:  -74.71
| Episode:  112 | Episode reward:  -76.0  |  Average reward:  -74.71
| Episode:  113 | Episode reward:  -88.00000000000001  |  Average reward:  -74.6
| Episode:  114 | Episode reward:  -81.0  |  Average reward:  -74.69
| Episode:  115 | Episode reward:  -79.0  |  Average reward:  -74.67
| Episode:  116 | Episode reward:  -74.0  |  Average reward:  -74.62
| Episode:  117 | Episode reward:  -67.0  |  Average reward:  -74.63
| Episode:  118 | Episode reward:  -77.0  |  Average reward:  -74.48
| Episode:  119 | Episode reward:  -78.0  |  Average reward:  -74.45
| Episode:  120 | Episode reward:  -86.00000000000001  |  Average reward:  -74.33
| Episode:  121 | Episode reward:  -67.0  |  Average reward:  -74.35
| Episode:  122 | Episode reward:  -77.0  |  Average reward:  -74.24
| Episode:  123 | Episode reward:  -77.0  |  Average reward:  -74.28
| Episode:  124 | Episode reward:  -69.0  |  Average reward:  -74.24
| Episode:  125 | Episode reward:  -53.99999999999999  |  Average reward:  -74.2
| Episode:  126 | Episode reward:  -43.99999999999999  |  Average reward:  -74.06
| Episode:  127 | Episode reward:  -73.0  |  Average reward:  -73.7
| Episode:  128 | Episode reward:  -63.99999999999999  |  Average reward:  -73.85
| Episode:  129 | Episode reward:  -73.0  |  Average reward:  -73.77
| Episode:  130 | Episode reward:  -44.99999999999999  |  Average reward:  -73.72
| Episode:  131 | Episode reward:  -75.0  |  Average reward:  -73.35
| Episode:  132 | Episode reward:  -76.0  |  Average reward:  -73.39
| Episode:  133 | Episode reward:  -63.99999999999999  |  Average reward:  -73.33
| Episode:  134 | Episode reward:  -52.99999999999999  |  Average reward:  -73.27
| Episode:  135 | Episode reward:  -82.0  |  Average reward:  -73.09
| Episode:  136 | Episode reward:  -81.0  |  Average reward:  -73.22
| Episode:  137 | Episode reward:  -81.0  |  Average reward:  -73.16
| Episode:  138 | Episode reward:  -80.0  |  Average reward:  -73.22
| Episode:  139 | Episode reward:  -50.99999999999999  |  Average reward:  -73.16
| Episode:  140 | Episode reward:  -78.0  |  Average reward:  -73.27
| Episode:  141 | Episode reward:  -74.0  |  Average reward:  -73.17
| Episode:  142 | Episode reward:  -76.0  |  Average reward:  -73.03
| Episode:  143 | Episode reward:  -76.0  |  Average reward:  -73.02
| Episode:  144 | Episode reward:  -77.0  |  Average reward:  -73.1
| Episode:  145 | Episode reward:  -76.0  |  Average reward:  -73.17
| Episode:  146 | Episode reward:  -69.0  |  Average reward:  -73.21
| Episode:  147 | Episode reward:  -71.0  |  Average reward:  -73.13
| Episode:  148 | Episode reward:  -68.0  |  Average reward:  -73.2
| Episode:  149 | Episode reward:  -63.99999999999999  |  Average reward:  -73.11
| Episode:  150 | Episode reward:  -70.0  |  Average reward:  -72.95
| Episode:  151 | Episode reward:  -37.99999999999999  |  Average reward:  -72.84
| Episode:  152 | Episode reward:  -79.0  |  Average reward:  -72.49
| Episode:  153 | Episode reward:  -81.0  |  Average reward:  -72.48
| Episode:  154 | Episode reward:  -45.99999999999999  |  Average reward:  -72.42
| Episode:  155 | Episode reward:  -76.0  |  Average reward:  -72.15
| Episode:  156 | Episode reward:  -71.0  |  Average reward:  -72.14
| Episode:  157 | Episode reward:  -83.0  |  Average reward:  -72.11
| Episode:  158 | Episode reward:  -82.0  |  Average reward:  -72.31
| Episode:  159 | Episode reward:  -67.0  |  Average reward:  -72.74
| Episode:  160 | Episode reward:  -58.99999999999999  |  Average reward:  -72.6
| Episode:  161 | Episode reward:  -65.0  |  Average reward:  -72.41
| Episode:  162 | Episode reward:  -83.0  |  Average reward:  -72.31
| Episode:  163 | Episode reward:  -59.99999999999999  |  Average reward:  -72.38
| Episode:  164 | Episode reward:  -78.0  |  Average reward:  -72.3
| Episode:  165 | Episode reward:  140.99999999999994  |  Average reward:  -72.29
| Episode:  166 | Episode reward:  -79.0  |  Average reward:  -70.02
| Episode:  167 | Episode reward:  -73.0  |  Average reward:  -70.13
| Episode:  168 | Episode reward:  -77.0  |  Average reward:  -70.16
| Episode:  169 | Episode reward:  -81.0  |  Average reward:  -70.15
| Episode:  170 | Episode reward:  -76.0  |  Average reward:  -70.09
| Episode:  171 | Episode reward:  -70.0  |  Average reward:  -70.05
| Episode:  172 | Episode reward:  -75.0  |  Average reward:  -69.98
| Episode:  173 | Episode reward:  -74.0  |  Average reward:  -69.93
| Episode:  174 | Episode reward:  -86.00000000000001  |  Average reward:  -69.82
| Episode:  175 | Episode reward:  -78.0  |  Average reward:  -69.93
| Episode:  176 | Episode reward:  -77.0  |  Average reward:  -69.98
| Episode:  177 | Episode reward:  -75.0  |  Average reward:  -69.96
| Episode:  178 | Episode reward:  -85.00000000000001  |  Average reward:  -70.3
| Episode:  179 | Episode reward:  -87.00000000000001  |  Average reward:  -70.4
| Episode:  180 | Episode reward:  -65.0  |  Average reward:  -70.59
| Episode:  181 | Episode reward:  -78.0  |  Average reward:  -70.76
| Episode:  182 | Episode reward:  -74.0  |  Average reward:  -70.73
| Episode:  183 | Episode reward:  -77.0  |  Average reward:  -70.72
| Episode:  184 | Episode reward:  -80.0  |  Average reward:  -70.67
| Episode:  185 | Episode reward:  -74.0  |  Average reward:  -70.68
| Episode:  186 | Episode reward:  -77.0  |  Average reward:  -70.67
| Episode:  187 | Episode reward:  -44.99999999999999  |  Average reward:  -70.76
| Episode:  188 | Episode reward:  -74.0  |  Average reward:  -70.51
| Episode:  189 | Episode reward:  -81.0  |  Average reward:  -70.42
| Episode:  190 | Episode reward:  -60.99999999999999  |  Average reward:  -70.44
| Episode:  191 | Episode reward:  -75.0  |  Average reward:  -70.24
| Episode:  192 | Episode reward:  -77.0  |  Average reward:  -70.22
| Episode:  193 | Episode reward:  -75.0  |  Average reward:  -70.34
| Episode:  194 | Episode reward:  -84.00000000000001  |  Average reward:  -70.45
| Episode:  195 | Episode reward:  -76.0  |  Average reward:  -70.52
| Episode:  196 | Episode reward:  -66.0  |  Average reward:  -70.46
| Episode:  197 | Episode reward:  -4.000000000000057  |  Average reward:  -70.77
| Episode:  198 | Episode reward:  -76.0  |  Average reward:  -70.0
| Episode:  199 | Episode reward:  -44.99999999999999  |  Average reward:  -70.07
| Episode:  200 | Episode reward:  -76.0  |  Average reward:  -69.69
| Episode:  201 | Episode reward:  -60.99999999999999  |  Average reward:  -69.64
| Episode:  202 | Episode reward:  -78.0  |  Average reward:  -69.43
| Episode:  203 | Episode reward:  -80.0  |  Average reward:  -69.37
| Episode:  204 | Episode reward:  -83.0  |  Average reward:  -69.44
| Episode:  205 | Episode reward:  -74.0  |  Average reward:  -69.61
| Episode:  206 | Episode reward:  -73.0  |  Average reward:  -69.58
| Episode:  207 | Episode reward:  -74.0  |  Average reward:  -69.52
| Episode:  208 | Episode reward:  -75.0  |  Average reward:  -69.77
| Episode:  209 | Episode reward:  -79.0  |  Average reward:  -69.75
| Episode:  210 | Episode reward:  -74.0  |  Average reward:  -69.82
| Episode:  211 | Episode reward:  -76.0  |  Average reward:  -69.78
| Episode:  212 | Episode reward:  -75.0  |  Average reward:  -69.78
| Episode:  213 | Episode reward:  -78.0  |  Average reward:  -69.77
| Episode:  214 | Episode reward:  -79.0  |  Average reward:  -69.67
| Episode:  215 | Episode reward:  -77.0  |  Average reward:  -69.65
| Episode:  216 | Episode reward:  -77.0  |  Average reward:  -69.63
| Episode:  217 | Episode reward:  -80.0  |  Average reward:  -69.66
| Episode:  218 | Episode reward:  -33.00000000000006  |  Average reward:  -69.79
| Episode:  219 | Episode reward:  -76.0  |  Average reward:  -69.35
| Episode:  220 | Episode reward:  -79.0  |  Average reward:  -69.33
| Episode:  221 | Episode reward:  -74.0  |  Average reward:  -69.26
| Episode:  222 | Episode reward:  -61.99999999999999  |  Average reward:  -69.33
| Episode:  223 | Episode reward:  -78.0  |  Average reward:  -69.18
| Episode:  224 | Episode reward:  -82.0  |  Average reward:  -69.19
| Episode:  225 | Episode reward:  -71.0  |  Average reward:  -69.32
| Episode:  226 | Episode reward:  -79.0  |  Average reward:  -69.49
| Episode:  227 | Episode reward:  -87.00000000000001  |  Average reward:  -69.84
| Episode:  228 | Episode reward:  -80.0  |  Average reward:  -69.98
| Episode:  229 | Episode reward:  -76.0  |  Average reward:  -70.14
| Episode:  230 | Episode reward:  -69.0  |  Average reward:  -70.17
| Episode:  231 | Episode reward:  -72.0  |  Average reward:  -70.41
| Episode:  232 | Episode reward:  -75.0  |  Average reward:  -70.38
| Episode:  233 | Episode reward:  -67.0  |  Average reward:  -70.37
| Episode:  234 | Episode reward:  -79.0  |  Average reward:  -70.4
| Episode:  235 | Episode reward:  -80.0  |  Average reward:  -70.66
| Episode:  236 | Episode reward:  -82.0  |  Average reward:  -70.64
| Episode:  237 | Episode reward:  -76.0  |  Average reward:  -70.65
| Episode:  238 | Episode reward:  -69.0  |  Average reward:  -70.6
| Episode:  239 | Episode reward:  -71.0  |  Average reward:  -70.49
| Episode:  240 | Episode reward:  -69.0  |  Average reward:  -70.69
| Episode:  241 | Episode reward:  -58.99999999999999  |  Average reward:  -70.6
| Episode:  242 | Episode reward:  -76.0  |  Average reward:  -70.45
| Episode:  243 | Episode reward:  -76.0  |  Average reward:  -70.45
| Episode:  244 | Episode reward:  -84.00000000000001  |  Average reward:  -70.45
| Episode:  245 | Episode reward:  -76.0  |  Average reward:  -70.52
| Episode:  246 | Episode reward:  -71.0  |  Average reward:  -70.52
| Episode:  247 | Episode reward:  -82.0  |  Average reward:  -70.54
| Episode:  248 | Episode reward:  -88.00000000000001  |  Average reward:  -70.65
| Episode:  249 | Episode reward:  -73.0  |  Average reward:  -70.85
| Episode:  250 | Episode reward:  -76.0  |  Average reward:  -70.94
| Episode:  251 | Episode reward:  -83.0  |  Average reward:  -71.0
| Episode:  252 | Episode reward:  -60.99999999999999  |  Average reward:  -71.45
| Episode:  253 | Episode reward:  -68.0  |  Average reward:  -71.27
| Episode:  254 | Episode reward:  -69.0  |  Average reward:  -71.14
| Episode:  255 | Episode reward:  -78.0  |  Average reward:  -71.37
| Episode:  256 | Episode reward:  -60.99999999999999  |  Average reward:  -71.39
| Episode:  257 | Episode reward:  -83.0  |  Average reward:  -71.29
| Episode:  258 | Episode reward:  -78.0  |  Average reward:  -71.29
| Episode:  259 | Episode reward:  -73.0  |  Average reward:  -71.25
| Episode:  260 | Episode reward:  -78.0  |  Average reward:  -71.31
| Episode:  261 | Episode reward:  -83.0  |  Average reward:  -71.5
| Episode:  262 | Episode reward:  -68.0  |  Average reward:  -71.68
| Episode:  263 | Episode reward:  -75.0  |  Average reward:  -71.53
| Episode:  264 | Episode reward:  -70.0  |  Average reward:  -71.68
| Episode:  265 | Episode reward:  -44.99999999999999  |  Average reward:  -71.6
| Episode:  266 | Episode reward:  -72.0  |  Average reward:  -73.46
| Episode:  267 | Episode reward:  -68.0  |  Average reward:  -73.39
| Episode:  268 | Episode reward:  -74.0  |  Average reward:  -73.34
| Episode:  269 | Episode reward:  -81.0  |  Average reward:  -73.31
| Episode:  270 | Episode reward:  -81.0  |  Average reward:  -73.31
| Episode:  271 | Episode reward:  -79.0  |  Average reward:  -73.36
| Episode:  272 | Episode reward:  -85.00000000000001  |  Average reward:  -73.45
| Episode:  273 | Episode reward:  -83.0  |  Average reward:  -73.55
| Episode:  274 | Episode reward:  -82.0  |  Average reward:  -73.64
| Episode:  275 | Episode reward:  -72.0  |  Average reward:  -73.6
| Episode:  276 | Episode reward:  -72.0  |  Average reward:  -73.54
| Episode:  277 | Episode reward:  -75.0  |  Average reward:  -73.49
| Episode:  278 | Episode reward:  -66.0  |  Average reward:  -73.49
| Episode:  279 | Episode reward:  -68.0  |  Average reward:  -73.3
| Episode:  280 | Episode reward:  -77.0  |  Average reward:  -73.11
| Episode:  281 | Episode reward:  -65.0  |  Average reward:  -73.23
| Episode:  282 | Episode reward:  -76.0  |  Average reward:  -73.1
| Episode:  283 | Episode reward:  -72.0  |  Average reward:  -73.12
| Episode:  284 | Episode reward:  -59.99999999999999  |  Average reward:  -73.07
| Episode:  285 | Episode reward:  -68.0  |  Average reward:  -72.87
| Episode:  286 | Episode reward:  -79.0  |  Average reward:  -72.81
| Episode:  287 | Episode reward:  -58.99999999999999  |  Average reward:  -72.83
| Episode:  288 | Episode reward:  -76.0  |  Average reward:  -72.97
| Episode:  289 | Episode reward:  -73.0  |  Average reward:  -72.99
| Episode:  290 | Episode reward:  -78.0  |  Average reward:  -72.91
| Episode:  291 | Episode reward:  -77.0  |  Average reward:  -73.08
| Episode:  292 | Episode reward:  -76.0  |  Average reward:  -73.1
| Episode:  293 | Episode reward:  -87.00000000000001  |  Average reward:  -73.09
| Episode:  294 | Episode reward:  -75.0  |  Average reward:  -73.21
| Episode:  295 | Episode reward:  -81.0  |  Average reward:  -73.12
| Episode:  296 | Episode reward:  -78.0  |  Average reward:  -73.17
| Episode:  297 | Episode reward:  -63.99999999999999  |  Average reward:  -73.29
| Episode:  298 | Episode reward:  -72.0  |  Average reward:  -73.89
| Episode:  299 | Episode reward:  -85.00000000000001  |  Average reward:  -73.85
| Episode:  300 | Episode reward:  -74.0  |  Average reward:  -74.25
| Episode:  301 | Episode reward:  -72.0  |  Average reward:  -74.23
| Episode:  302 | Episode reward:  -77.0  |  Average reward:  -74.34
