episode: 7241/200000, score: -144.20000000000005, average: -79.95
episode: 7242/200000, score: -111.49999999999999, average: -79.79
episode: 7243/200000, score: 159.7000000000002, average: -74.16
episode: 7244/200000, score: 61.70000000000047, average: -71.24
episode: 7245/200000, score: -135.86560300000002, average: -71.60
episode: 7246/200000, score: -103.26560300000003, average: -71.87
episode: 7247/200000, score: -120.89999999999999, average: -73.04
episode: 7248/200000, score: -143.7000000000001, average: -75.39
episode: 7249/200000, score: -124.40000000000005, average: -84.17
episode: 7250/200000, score: -112.19999999999999, average: -89.82
episode: 7251/200000, score: -116.69999999999999, average: -89.72
episode: 7252/200000, score: -97.70000000000005, average: -89.24
episode: 7253/200000, score: 73.50000000000094, average: -85.76
episode: 7254/200000, score: -150.90000000000003, average: -86.33
episode: 7255/200000, score: -130.10000000000002, average: -86.73
episode: 7256/200000, score: 61.28959200000051, average: -83.14
episode: 7257/200000, score: -152.80000000000013, average: -84.18
episode: 7258/200000, score: -151.70000000000007, average: -85.32
episode: 7259/200000, score: -140.18640300000015, average: -85.91
episode: 7260/200000, score: 22.500000000000256, average: -83.16
episode: 7261/200000, score: 152.59999999999874, average: -77.53
episode: 7262/200000, score: -121.04000000000006, average: -77.98
episode: 7263/200000, score: -34.389599999999945, average: -76.28
episode: 7264/200000, score: -112.49999999999999, average: -76.15
episode: 7265/200000, score: -129.38640300000014, average: -80.77
episode: 7266/200000, score: -151.50000000000006, average: -82.01
episode: 7267/200000, score: -101.2184006, average: -81.82
episode: 7268/200000, score: -124.19999999999999, average: -82.57
episode: 7269/200000, score: -125.00000000000003, average: -83.03
episode: 7270/200000, score: -134.40000000000043, average: -87.38
episode: 7271/200000, score: -41.600000000000016, average: -86.83
episode: 7272/200000, score: -16.09999999999988, average: -84.80
episode: 7273/200000, score: -89.60000000000008, average: -85.92
episode: 7274/200000, score: -123.99999999999997, average: -85.75
episode: 7275/200000, score: 16.410396000000503, average: -83.14
episode: 7276/200000, score: -83.69999999999999, average: -81.45
episode: 7277/200000, score: -111.2, average: -81.30
episode: 7278/200000, score: -116.89999999999996, average: -82.02
episode: 7279/200000, score: -149.60000000000005, average: -84.29
episode: 7280/200000, score: -126.50000000000006, average: -88.67
episode: 7281/200000, score: -68.70000000000013, average: -87.31
episode: 7282/200000, score: -88.20000000000002, average: -86.70
episode: 7283/200000, score: -96.60000000000004, average: -86.41
episode: 7284/200000, score: -144.50000000000006, average: -86.84
episode: 7285/200000, score: -58.82960000000013, average: -85.56
episode: 7286/200000, score: -118.69999999999999, average: -85.21
episode: 7287/200000, score: -72.10000000000016, average: -84.37
episode: 7288/200000, score: -81.25200600000014, average: -84.28
episode: 7289/200000, score: -150.80000000000007, average: -85.26
episode: 7290/200000, score: -81.25520300000005, average: -84.84
episode: 7291/200000, score: -163.80000000000007, average: -85.24
episode: 7292/200000, score: -139.70000000000005, average: -85.80
episode: 7293/200000, score: -114.38960000000004, average: -91.28
episode: 7294/200000, score: -41.19999999999977, average: -93.34
