C:\Users\chris\anaconda3\envs\marlo\lib\site-packages\numpy\_distributor_init.py:32: UserWarning: loaded more than 1 DLL from .libs:
C:\Users\chris\anaconda3\envs\marlo\lib\site-packages\numpy\.libs\libopenblas.TXA6YQSD3GCQQC22GEQ54J2UDCXDXHWN.gfortran-win_amd64.dll
C:\Users\chris\anaconda3\envs\marlo\lib\site-packages\numpy\.libs\libopenblas.XWYDX2IKJW2NMTWSFYNGFUWKQU3LYTCZ.gfortran-win_amd64.dll
  stacklevel=1)
2024-01-17 19:14:04.153452: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cudart64_101.dll
2024-01-17 19:14:05.670582: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library nvcuda.dll
2024-01-17 19:14:05.688390: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1716] Found device 0 with properties: 
pciBusID: 0000:2b:00.0 name: NVIDIA GeForce RTX 4070 computeCapability: 8.9
coreClock: 2.505GHz coreCount: 46 deviceMemorySize: 11.99GiB deviceMemoryBandwidth: 469.43GiB/s
2024-01-17 19:14:05.688587: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cudart64_101.dll
2024-01-17 19:14:05.696765: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cublas64_10.dll
2024-01-17 19:14:05.696859: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cufft64_10.dll
2024-01-17 19:14:05.696947: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library curand64_10.dll
2024-01-17 19:14:05.702135: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cusolver64_10.dll
2024-01-17 19:14:05.704880: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cusparse64_10.dll
GPUs [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
2024-01-17 19:14:05.714945: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cudnn64_7.dll
2024-01-17 19:14:05.715072: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1858] Adding visible gpu devices: 0
C:\Users\chris\anaconda3\envs\marlo\lib\site-packages\gym\logger.py:30: UserWarning: WARN: Box bound precision lowered by casting to float64
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
2024-01-17 19:14:06.023812: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN)to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-01-17 19:14:06.031123: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x16cc2b679b0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2024-01-17 19:14:06.031299: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
2024-01-17 19:14:06.031673: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1716] Found device 0 with properties: 
pciBusID: 0000:2b:00.0 name: NVIDIA GeForce RTX 4070 computeCapability: 8.9
coreClock: 2.505GHz coreCount: 46 deviceMemorySize: 11.99GiB deviceMemoryBandwidth: 469.43GiB/s
2024-01-17 19:14:06.031979: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cudart64_101.dll
2024-01-17 19:14:06.032122: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cublas64_10.dll
2024-01-17 19:14:06.032243: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cufft64_10.dll
2024-01-17 19:14:06.032362: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library curand64_10.dll
2024-01-17 19:14:06.032470: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cusolver64_10.dll
2024-01-17 19:14:06.032579: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cusparse64_10.dll
2024-01-17 19:14:06.032694: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cudnn64_7.dll
2024-01-17 19:14:06.032816: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1858] Adding visible gpu devices: 0
2024-01-17 19:14:07.099139: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1257] Device interconnect StreamExecutor with strength 1 edge matrix:
2024-01-17 19:14:07.099239: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1263]      0 
2024-01-17 19:14:07.099297: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1276] 0:   N 
2024-01-17 19:14:07.099458: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1402] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10335 MB memory) -> physical GPU (device: 0, name: NVIDIA GeForce RTX 4070, pci bus id: 0000:2b:00.0, compute capability: 8.9)
2024-01-17 19:14:07.102061: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x16d1ac6b860 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-01-17 19:14:07.102221: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA GeForce RTX 4070, Compute Capability 8.9
WARNING:tensorflow:From C:\Users\chris\anaconda3\envs\marlo\lib\site-packages\tensorflow\python\keras\engine\training_v1.py:2070: Model.state_updates (from tensorflow.python.keras.engine.training) is deprecated and will be removed in a future version.
Instructions for updating:
This property should not be used in TensorFlow 2.0, as updates are applied automatically.
2024-01-17 19:14:09.655163: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cublas64_10.dll
episode: 0/100, score: 246.89196199999694, average_score: 246.89196199999694, average_kills: 0, Win:False
episode: 1/100, score: 422.62395699999604, average_score: 334.7579594999965, average_kills: 0.3333333333333333, Win:False
episode: 2/100, score: 277.8879839999985, average_score: 315.8013009999972, average_kills: 0.6, Win:False
episode: 3/100, score: 685.6519829999926, average_score: 408.26397149999605, average_kills: 0.5714285714285714, Win:True
episode: 4/100, score: 572.455952999998, average_score: 441.1023677999964, average_kills: 0.7777777777777778, Win:True
episode: 5/100, score: 765.7999739999968, average_score: 495.2186354999965, average_kills: 0.9090909090909091, Win:True
episode: 6/100, score: 621.3599759999936, average_score: 513.2388269999961, average_kills: 1, Win:True
episode: 7/100, score: 655.5839809999945, average_score: 531.0319712499959, average_kills: 1.0666666666666667, Win:True
episode: 8/100, score: 394.38397799999734, average_score: 515.8488608888849, average_kills: 1.1176470588235294, Win:False
episode: 9/100, score: 585.1639869999964, average_score: 522.780373499996, average_kills: 1.105263157894737, Win:True
episode: 10/100, score: 425.0559699999966, average_score: 513.8963368181779, average_kills: 1.1428571428571428, Win:False
episode: 11/100, score: 569.1439579999953, average_score: 518.500305249996, average_kills: 1.1304347826086956, Win:True
episode: 12/100, score: 605.9319419999943, average_score: 525.2258157692266, average_kills: 1.16, Win:True
episode: 13/100, score: 3.007978000000662, average_score: 487.92454164285334, average_kills: 1.1851851851851851, Win:False
episode: 14/100, score: -116.05201000000008, average_score: 447.65943819999643, average_kills: 1.103448275862069, Win:False
episode: 15/100, score: 608.5439529999985, average_score: 457.71472037499655, average_kills: 1.032258064516129, Win:True
episode: 16/100, score: 596.6199499999959, average_score: 465.8856162352906, average_kills: 1.0606060606060606, Win:True
episode: 17/100, score: 105.19597700000071, average_score: 445.84730294444114, average_kills: 1.0857142857142856, Win:False
episode: 18/100, score: -114.08400100000003, average_score: 416.3772343157863, average_kills: 1.027027027027027, Win:False
episode: 19/100, score: 104.39998199999931, average_score: 400.77837169999697, average_kills: 0.9743589743589743, Win:False
episode: 20/100, score: 154.34798499999957, average_score: 389.04359138094947, average_kills: 0.9512195121951219, Win:False
episode: 21/100, score: -56.9760049999997, average_score: 368.7699733636336, average_kills: 0.9302325581395349, Win:False
episode: 22/100, score: 365.99994299999855, average_score: 368.64953726086685, average_kills: 0.8888888888888888, Win:False
episode: 23/100, score: 27.927988000000653, average_score: 354.45280604166413, average_kills: 0.8936170212765957, Win:False
episode: 24/100, score: -194.64000500000003, average_score: 332.4890935999976, average_kills: 0.8571428571428571, Win:False
episode: 25/100, score: -146.10000000000002, average_score: 314.08182076922844, average_kills: 0.8235294117647058, Win:False
episode: 26/100, score: 498.9639679999972, average_score: 320.92930770370134, average_kills: 0.7924528301886793, Win:False
episode: 27/100, score: 334.96797099999765, average_score: 321.4306885357119, average_kills: 0.8, Win:False
episode: 28/100, score: 486.2159649999959, average_score: 327.11293944827344, average_kills: 0.8070175438596491, Win:False
episode: 29/100, score: 357.5959599999952, average_score: 328.1290401333308, average_kills: 0.8305084745762712, Win:False
episode: 30/100, score: 780.2159239999969, average_score: 342.71248799999745, average_kills: 0.8360655737704918, Win:True
episode: 31/100, score: 673.6479539999957, average_score: 353.0542213124974, average_kills: 0.8571428571428571, Win:True
episode: 32/100, score: 294.51198099999885, average_score: 351.2802140303005, average_kills: 0.8769230769230769, Win:False
episode: 33/100, score: -45.908019999999354, average_score: 339.5982071470564, average_kills: 0.8805970149253731, Win:False
episode: 34/100, score: 422.255944999996, average_score: 341.9598567999975, average_kills: 0.855072463768116, Win:False
episode: 35/100, score: 661.3559349999948, average_score: 350.83197008333076, average_kills: 0.8591549295774648, Win:True
episode: 36/100, score: 704.4239599999952, average_score: 360.3885103513487, average_kills: 0.8767123287671232, Win:True
episode: 37/100, score: 712.3639429999957, average_score: 369.6510217368394, average_kills: 0.8933333333333333, Win:True
episode: 38/100, score: 709.5879749999957, average_score: 378.36735387179215, average_kills: 0.9090909090909091, Win:True
episode: 39/100, score: 147.76795300000103, average_score: 372.60236884999733, average_kills: 0.9240506329113924, Win:False
episode: 40/100, score: -2.6680189999990773, average_score: 363.44943256097304, average_kills: 0.9135802469135802, Win:False
episode: 41/100, score: -160.17600500000003, average_score: 350.9821602380928, average_kills: 0.9156626506024096, Win:False
episode: 42/100, score: 650.9759549999981, average_score: 357.9587601162766, average_kills: 0.8941176470588236, Win:True
episode: 43/100, score: -95.98399999999981, average_score: 347.64187920454305, average_kills: 0.9195402298850575, Win:False
episode: 44/100, score: 685.5919529999956, average_score: 355.15188084444196, average_kills: 0.898876404494382, Win:True
episode: 45/100, score: 347.67996099999675, average_score: 354.98944780434533, average_kills: 0.9120879120879121, Win:False
episode: 46/100, score: 622.3519479999943, average_score: 360.67801163829535, average_kills: 0.9139784946236559, Win:True
episode: 47/100, score: -237.89999999999992, average_score: 348.20763639583083, average_kills: 0.9263157894736842, Win:False
episode: 48/100, score: 585.0119619999981, average_score: 353.0403777346914, average_kills: 0.9072164948453608, Win:True
episode: 49/100, score: 427.68797099999585, average_score: 354.53332959999744, average_kills: 0.9191919191919192, Win:False
episode: 50/100, score: 685.8079519999958, average_score: 363.3116493999974, average_kills: 0.9207920792079208, Win:True
episode: 51/100, score: 334.95593599999506, average_score: 361.55828897999737, average_kills: 0.9320388349514563, Win:False
episode: 52/100, score: 143.58797999999948, average_score: 358.8722888999975, average_kills: 0.9333333333333333, Win:False
episode: 53/100, score: 639.0759429999978, average_score: 357.94076809999757, average_kills: 0.9158878504672897, Win:True
episode: 54/100, score: 49.15597900000057, average_score: 347.47476861999763, average_kills: 0.926605504587156, Win:False
episode: 55/100, score: 639.4039809999978, average_score: 344.9468487599977, average_kills: 0.918918918918919, Win:True
episode: 56/100, score: 31.54399500000028, average_score: 333.15052913999773, average_kills: 0.9292035398230089, Win:False
episode: 57/100, score: 720.0399639999976, average_score: 334.4396487999978, average_kills: 0.9217391304347826, Win:True
